Petsa,Bayan,Barangay,Sukat_ng_Bukid_Ektarya,Uri_ng_Palay,Petsa_ng_Pagtatanim,Yugto_ng_Palay,Inaasahang_Ani_Tonelada,Totoong_Ani_Tonelada,Sanhi_ng_Pinsala,Porsyento_ng_Pinsala,Pinagkukunan_ng_Tubig,Uri_ng_Lupa,Dami_ng_Abono_Kilo,Gumamit_ng_Pestisidyo,Kondisyon_ng_Panahon,Datos_ng_Bagyo
2022-07-24,Cabanatuan,Dalampang,3.42,NSIC Rc160,2022-04-11,Paghinog,5.03,3.22,Henry,36,UPRIIS - Distrito 3,Malagkit na Lupa,168,Hindi,"{'dami_ng_ulan_mm': 268, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 25, 'halumigmig': 70}","{'pangalan': 'Henry', 'lakas_ng_hangin': 110, 'ulan': 350, 'tagal': 66}"
2023-02-21,Peñaranda,Las Piñas,2.81,NSIC Rc402,2022-11-20,Paglaki,4.35,4.13,Wala,5,UPRIIS - Distrito 4,Mabuhanging Burak,148,Oo,"{'dami_ng_ulan_mm': 241, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 24, 'halumigmig': 67}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-05-18,Science City of Muñoz,Villa Marina,4.86,NSIC Rc222,2023-01-21,Paglaki,5.22,4.91,Wala,6,Tubig-ulan,Burak,131,Hindi,"{'dami_ng_ulan_mm': 385, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 24, 'halumigmig': 68}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-12-07,Santa Rosa,Tagpos,4.93,NSIC Rc222,2023-08-09,Pamumulaklak,5.03,4.68,Wala,7,UPRIIS - Distrito 1,Mabuhanging Burak,106,Hindi,"{'dami_ng_ulan_mm': 171, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 26, 'halumigmig': 76}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-01-02,Guimba,San Bernardino,4.13,PSB Rc82,2020-09-24,Paghinog,4.97,4.37,Wala,12,Maliit na Sistema ng Irigasyon,Burak,171,Oo,"{'dami_ng_ulan_mm': 173, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 26, 'halumigmig': 82}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-06-03,San Jose,Palestina,2.03,NSIC Rc402,2023-02-16,Pamumulaklak,4.13,4.09,Wala,1,Maliit na Sistema ng Irigasyon,Malagkit na Lupa,114,Oo,"{'dami_ng_ulan_mm': 191, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 23, 'halumigmig': 75}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-03-11,Talavera,Esguerra,4.21,NSIC Rc160,2020-11-16,Paghinog,5.96,5.48,Wala,8,Maliit na Sistema ng Irigasyon,Banlik,150,Oo,"{'dami_ng_ulan_mm': 131, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 23, 'halumigmig': 74}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-08-15,Aliaga,La Purisima,3.79,NSIC Rc222,2021-05-15,Paghinog,5.95,0.06,Kiko,99,UPRIIS - Distrito 2,Mabuhanging Burak,128,Oo,"{'dami_ng_ulan_mm': 224, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 23, 'halumigmig': 74}","{'pangalan': 'Kiko', 'lakas_ng_hangin': 150, 'ulan': 500, 'tagal': 67}"
2021-07-23,Guimba,Manggang Marikit,0.61,NSIC Rc238,2021-04-21,Paglaki,5.89,5.89,Wala,0,Maliit na Sistema ng Irigasyon,Banlik,120,Hindi,"{'dami_ng_ulan_mm': 173, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 24, 'halumigmig': 74}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-02-03,Cabanatuan,Embarcadero,4.77,PSB Rc82,2021-10-26,Paglaki,4.66,4.29,Wala,8,UPRIIS - Distrito 2,Burak,140,Oo,"{'dami_ng_ulan_mm': 389, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 24, 'halumigmig': 85}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-07-17,Science City of Muñoz,Linglingay,4.01,NSIC Rc222,2023-04-18,Paglaki,4.77,1.86,Egay,61,UPRIIS - Distrito 3,Burak,122,Oo,"{'dami_ng_ulan_mm': 115, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 24, 'halumigmig': 72}","{'pangalan': 'Egay', 'lakas_ng_hangin': 95, 'ulan': 250, 'tagal': 44}"
2022-10-13,Aliaga,Bibiclat,2.63,NSIC Rc238,2022-07-05,Paghinog,4.56,4.24,Wala,7,UPRIIS - Distrito 3,Malagkit na Lupa,163,Hindi,"{'dami_ng_ulan_mm': 201, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 23, 'halumigmig': 69}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-09-10,Guimba,Manggang Marikit,4.68,NSIC Rc438,2021-05-22,Paghinog,5.91,3.19,Lannie,46,Tubig-ulan,Burak,121,Oo,"{'dami_ng_ulan_mm': 300, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 24, 'halumigmig': 71}","{'pangalan': 'Lannie', 'lakas_ng_hangin': 90, 'ulan': 220, 'tagal': 67}"
2021-03-02,Science City of Muñoz,Centro,4.44,NSIC Rc160,2020-11-22,Pamumulaklak,5.91,5.38,Wala,9,UPRIIS - Distrito 4,Mabuhanging Burak,155,Hindi,"{'dami_ng_ulan_mm': 300, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 26, 'halumigmig': 81}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-03-31,Zaragoza,Batitang,2.09,NSIC Rc238,2020-12-13,Paghinog,4.11,3.53,Wala,14,Maliit na Sistema ng Irigasyon,Mabuhanging Burak,133,Oo,"{'dami_ng_ulan_mm': 210, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 24, 'halumigmig': 75}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-06-18,San Jose,Malasin,1.11,PSB Rc82,2022-03-20,Paglaki,5.65,3.33,Florita,41,UPRIIS - Distrito 4,Buhanging Lupa,127,Oo,"{'dami_ng_ulan_mm': 272, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 24, 'halumigmig': 77}","{'pangalan': 'Florita', 'lakas_ng_hangin': 85, 'ulan': 200, 'tagal': 32}"
2023-05-14,Guimba,Naglabrahan,2.22,PSB Rc82,2023-01-27,Paglaki,5.91,5.61,Wala,5,UPRIIS - Distrito 2,Buhanging Lupa,103,Oo,"{'dami_ng_ulan_mm': 323, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 24, 'halumigmig': 82}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-05-03,Cabanatuan,Bantug,1.39,NSIC Rc160,2022-01-27,Paglaki,4.1,3.81,Wala,7,UPRIIS - Distrito 3,Mabuhanging Burak,149,Hindi,"{'dami_ng_ulan_mm': 300, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 24, 'halumigmig': 78}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-03-27,Guimba,San Bernardino,0.6,NSIC Rc160,2020-12-12,Paglaki,4.86,4.57,Wala,6,Tubig-ulan,Malagkit na Lupa,127,Oo,"{'dami_ng_ulan_mm': 317, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 26, 'halumigmig': 72}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-05-12,Santa Rosa,Santo Rosario,2.04,NSIC Rc402,2022-02-10,Pamumulaklak,5.5,4.67,Wala,15,UPRIIS - Distrito 2,Banlik,126,Oo,"{'dami_ng_ulan_mm': 153, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 26, 'halumigmig': 73}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-08-09,Guimba,Naglabrahan,2.5,NSIC Rc354,2022-04-22,Paglaki,5.92,2.72,Henry,54,UPRIIS - Distrito 3,Buhanging Lupa,134,Oo,"{'dami_ng_ulan_mm': 180, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 25, 'halumigmig': 84}","{'pangalan': 'Henry', 'lakas_ng_hangin': 110, 'ulan': 350, 'tagal': 66}"
2021-10-30,Science City of Muñoz,Linglingay,1.23,NSIC Rc222,2021-07-20,Pamumulaklak,5.43,4.78,Wala,12,UPRIIS - Distrito 1,Malagkit na Lupa,127,Oo,"{'dami_ng_ulan_mm': 213, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 24, 'halumigmig': 74}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-08-19,Peñaranda,Sinasajan,3.62,NSIC Rc438,2022-04-28,Paglaki,5.74,5.4,Wala,6,Tubig-ulan,Banlik,155,Oo,"{'dami_ng_ulan_mm': 131, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 24, 'halumigmig': 65}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-05-05,Talavera,Bagong Sikat,2.93,NSIC Rc238,2021-02-01,Paghinog,5.24,5.24,Wala,0,UPRIIS - Distrito 1,Banlik,153,Oo,"{'dami_ng_ulan_mm': 125, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 25, 'halumigmig': 82}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-11-24,San Jose,Tondod,4.42,NSIC Rc222,2023-07-28,Paglaki,5.38,5.06,Wala,6,Tubig-ulan,Buhanging Lupa,141,Oo,"{'dami_ng_ulan_mm': 153, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 24, 'halumigmig': 75}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-08-17,San Jose,Santo Niño,4.42,NSIC Rc354,2022-05-08,Paghinog,4.92,4.53,Wala,8,UPRIIS - Distrito 2,Buhanging Lupa,136,Oo,"{'dami_ng_ulan_mm': 132, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 23, 'halumigmig': 85}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-12-18,Zaragoza,Manaul,2.16,NSIC Rc238,2023-09-06,Paglaki,4.1,3.89,Wala,5,Tubig-ulan,Mabuhanging Burak,117,Oo,"{'dami_ng_ulan_mm': 368, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 24, 'halumigmig': 75}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-05-01,Guimba,Naglabrahan,3.37,NSIC Rc216,2023-01-26,Paghinog,5.54,5.54,Wala,0,Maliit na Sistema ng Irigasyon,Banlik,148,Oo,"{'dami_ng_ulan_mm': 172, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 24, 'halumigmig': 70}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-08-21,Zaragoza,Mayo,2.66,NSIC Rc402,2022-05-15,Pamumulaklak,4.22,2.57,Inday,39,Tubig-ulan,Malagkit na Lupa,113,Oo,"{'dami_ng_ulan_mm': 387, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 24, 'halumigmig': 84}","{'pangalan': 'Inday', 'lakas_ng_hangin': 130, 'ulan': 450, 'tagal': 54}"
2023-12-07,Cabanatuan,Bantug,1.58,NSIC Rc238,2023-08-20,Pamumulaklak,5.43,4.89,Wala,10,Maliit na Sistema ng Irigasyon,Banlik,119,Hindi,"{'dami_ng_ulan_mm': 205, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 24, 'halumigmig': 76}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-12-17,Santa Rosa,Cojuangco,1.85,NSIC Rc238,2022-09-11,Paglaki,5.69,5.18,Wala,9,UPRIIS - Distrito 3,Banlik,127,Oo,"{'dami_ng_ulan_mm': 395, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 25, 'halumigmig': 84}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-03-05,Aliaga,La Purisima,4.56,NSIC Rc438,2021-12-05,Pamumulaklak,5.34,4.86,Wala,9,UPRIIS - Distrito 2,Mabuhanging Burak,143,Oo,"{'dami_ng_ulan_mm': 343, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 26, 'halumigmig': 72}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-07-30,Guimba,San Bernardino,2.51,NSIC Rc160,2021-04-20,Pamumulaklak,5.26,4.63,Wala,12,UPRIIS - Distrito 2,Banlik,112,Oo,"{'dami_ng_ulan_mm': 333, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 23, 'halumigmig': 66}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-05-18,Peñaranda,Las Piñas,2.74,NSIC Rc222,2022-02-10,Paglaki,5.69,5.35,Wala,6,UPRIIS - Distrito 3,Buhanging Lupa,120,Hindi,"{'dami_ng_ulan_mm': 332, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 25, 'halumigmig': 77}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-06-19,Talavera,Poblacion Sur,3.42,NSIC Rc216,2022-03-10,Paghinog,5.32,2.39,Florita,55,Maliit na Sistema ng Irigasyon,Banlik,169,Hindi,"{'dami_ng_ulan_mm': 319, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 23, 'halumigmig': 76}","{'pangalan': 'Florita', 'lakas_ng_hangin': 85, 'ulan': 200, 'tagal': 38}"
2023-12-27,Cabanatuan,Bantug,3.37,NSIC Rc222,2023-09-02,Paglaki,4.95,4.9,Wala,1,Tubig-ulan,Mabuhanging Burak,155,Hindi,"{'dami_ng_ulan_mm': 316, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 26, 'halumigmig': 78}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-08-10,San Jose,Kaliwanagan,3.53,NSIC Rc216,2021-04-17,Paghinog,4.93,2.61,Kiko,47,UPRIIS - Distrito 3,Banlik,162,Hindi,"{'dami_ng_ulan_mm': 394, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 25, 'halumigmig': 75}","{'pangalan': 'Kiko', 'lakas_ng_hangin': 150, 'ulan': 500, 'tagal': 63}"
2023-04-19,Gapan,San Lorenzo,1.72,NSIC Rc402,2022-12-30,Paghinog,4.76,4.66,Wala,2,UPRIIS - Distrito 4,Mabuhanging Burak,137,Oo,"{'dami_ng_ulan_mm': 272, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 23, 'halumigmig': 71}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-02-05,Guimba,Cabaruan,0.82,NSIC Rc238,2022-11-05,Pamumulaklak,4.44,3.82,Wala,14,UPRIIS - Distrito 4,Mabuhanging Burak,176,Hindi,"{'dami_ng_ulan_mm': 119, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 24, 'halumigmig': 66}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-08-01,Talavera,Maestrang Kikay,1.99,NSIC Rc160,2021-04-17,Pamumulaklak,5.58,5.13,Wala,8,Maliit na Sistema ng Irigasyon,Malagkit na Lupa,151,Hindi,"{'dami_ng_ulan_mm': 356, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 25, 'halumigmig': 65}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-02-24,Peñaranda,Las Piñas,1.4,NSIC Rc160,2021-11-03,Pamumulaklak,5.29,4.81,Wala,9,Tubig-ulan,Malagkit na Lupa,125,Hindi,"{'dami_ng_ulan_mm': 262, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 24, 'halumigmig': 73}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-02-19,Santa Rosa,Soledad,3.4,NSIC Rc160,2021-11-03,Paglaki,5.49,5.0,Wala,9,UPRIIS - Distrito 4,Banlik,157,Oo,"{'dami_ng_ulan_mm': 128, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 26, 'halumigmig': 72}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-09-11,Guimba,San Bernardino,1.86,NSIC Rc160,2022-05-30,Paghinog,5.78,1.91,Inday,67,UPRIIS - Distrito 2,Mabuhanging Burak,154,Hindi,"{'dami_ng_ulan_mm': 306, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 23, 'halumigmig': 72}","{'pangalan': 'Inday', 'lakas_ng_hangin': 130, 'ulan': 450, 'tagal': 46}"
2023-08-02,Cabanatuan,Capaya,4.44,PSB Rc82,2023-04-22,Pamumulaklak,5.0,2.5,Falcon,50,UPRIIS - Distrito 3,Banlik,126,Oo,"{'dami_ng_ulan_mm': 136, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 25, 'halumigmig': 79}","{'pangalan': 'Falcon', 'lakas_ng_hangin': 140, 'ulan': 400, 'tagal': 35}"
2023-10-02,San Jose,Malasin,2.58,NSIC Rc238,2023-06-30,Pamumulaklak,5.65,5.25,Wala,7,UPRIIS - Distrito 3,Buhanging Lupa,121,Hindi,"{'dami_ng_ulan_mm': 166, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 26, 'halumigmig': 67}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-02-01,Zaragoza,Santa Cruz,3.15,NSIC Rc438,2022-10-04,Pamumulaklak,5.64,5.13,Wala,9,UPRIIS - Distrito 1,Buhanging Lupa,105,Oo,"{'dami_ng_ulan_mm': 259, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 26, 'halumigmig': 65}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-12-27,Peñaranda,Sinasajan,4.55,NSIC Rc216,2022-09-23,Paghinog,5.79,5.15,Wala,11,UPRIIS - Distrito 4,Mabuhanging Burak,140,Oo,"{'dami_ng_ulan_mm': 135, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 25, 'halumigmig': 73}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-07-18,Talavera,Esguerra,3.48,NSIC Rc354,2023-04-14,Pamumulaklak,5.08,3.56,Egay,30,UPRIIS - Distrito 1,Mabuhanging Burak,101,Oo,"{'dami_ng_ulan_mm': 309, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 25, 'halumigmig': 66}","{'pangalan': 'Egay', 'lakas_ng_hangin': 95, 'ulan': 250, 'tagal': 56}"
2021-09-26,Santa Rosa,San Josef,2.84,NSIC Rc222,2021-06-27,Pamumulaklak,4.06,0.89,Lannie,78,UPRIIS - Distrito 4,Buhanging Lupa,113,Oo,"{'dami_ng_ulan_mm': 215, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 26, 'halumigmig': 68}","{'pangalan': 'Lannie', 'lakas_ng_hangin': 90, 'ulan': 220, 'tagal': 61}"
2023-04-20,Cabanatuan,Aduas,2.67,PSB Rc82,2022-12-27,Pamumulaklak,5.65,5.2,Wala,8,Maliit na Sistema ng Irigasyon,Malagkit na Lupa,141,Hindi,"{'dami_ng_ulan_mm': 135, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 24, 'halumigmig': 72}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-03-14,Talavera,Maestrang Kikay,2.04,NSIC Rc354,2020-12-12,Paglaki,5.86,5.22,Wala,11,Tubig-ulan,Burak,155,Oo,"{'dami_ng_ulan_mm': 155, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 24, 'halumigmig': 83}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-07-06,Zaragoza,Santa Cruz,3.33,NSIC Rc238,2022-03-20,Paghinog,5.08,2.08,Florita,59,Tubig-ulan,Buhanging Lupa,146,Hindi,"{'dami_ng_ulan_mm': 189, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 24, 'halumigmig': 76}","{'pangalan': 'Florita', 'lakas_ng_hangin': 85, 'ulan': 200, 'tagal': 55}"
2022-09-20,Talavera,Bagong Sikat,3.36,NSIC Rc222,2022-05-24,Paghinog,4.15,1.49,Inday,64,Tubig-ulan,Banlik,158,Hindi,"{'dami_ng_ulan_mm': 384, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 24, 'halumigmig': 72}","{'pangalan': 'Inday', 'lakas_ng_hangin': 130, 'ulan': 450, 'tagal': 63}"
2022-12-07,Gapan,Makabaclay,4.72,NSIC Rc238,2022-08-16,Paglaki,5.76,5.76,Wala,0,UPRIIS - Distrito 3,Buhanging Lupa,138,Oo,"{'dami_ng_ulan_mm': 389, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 23, 'halumigmig': 67}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-11-23,Talavera,Maestrang Kikay,4.41,NSIC Rc216,2021-08-02,Pamumulaklak,4.8,4.32,Wala,10,Maliit na Sistema ng Irigasyon,Mabuhanging Burak,157,Oo,"{'dami_ng_ulan_mm': 257, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 25, 'halumigmig': 70}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-10-29,Cabanatuan,Bantug,4.38,NSIC Rc238,2022-07-23,Pamumulaklak,4.24,3.65,Wala,14,Maliit na Sistema ng Irigasyon,Malagkit na Lupa,176,Oo,"{'dami_ng_ulan_mm': 352, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 25, 'halumigmig': 67}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-02-16,Zaragoza,Santo Rosario,3.82,NSIC Rc222,2020-11-05,Paglaki,4.58,4.12,Wala,10,UPRIIS - Distrito 3,Burak,123,Hindi,"{'dami_ng_ulan_mm': 388, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 23, 'halumigmig': 82}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-11-06,Aliaga,Bibiclat,1.83,PSB Rc82,2021-07-17,Pamumulaklak,5.85,5.85,Wala,0,Tubig-ulan,Buhanging Lupa,177,Oo,"{'dami_ng_ulan_mm': 246, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 24, 'halumigmig': 75}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-05-02,Gapan,Pambuan,1.69,NSIC Rc402,2023-01-14,Paghinog,5.8,5.63,Wala,3,Maliit na Sistema ng Irigasyon,Buhanging Lupa,179,Oo,"{'dami_ng_ulan_mm': 294, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 26, 'halumigmig': 77}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-03-04,Zaragoza,Manaul,1.76,NSIC Rc354,2020-11-07,Paglaki,5.93,5.81,Wala,2,Tubig-ulan,Burak,168,Hindi,"{'dami_ng_ulan_mm': 295, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 25, 'halumigmig': 68}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-07-23,Science City of Muñoz,Centro,1.65,PSB Rc82,2023-04-06,Paghinog,5.15,1.13,Egay,78,UPRIIS - Distrito 1,Burak,114,Oo,"{'dami_ng_ulan_mm': 307, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 25, 'halumigmig': 80}","{'pangalan': 'Egay', 'lakas_ng_hangin': 95, 'ulan': 250, 'tagal': 38}"
2021-10-13,San Jose,Tondod,2.27,NSIC Rc238,2021-06-15,Paghinog,4.43,4.03,Wala,9,UPRIIS - Distrito 4,Malagkit na Lupa,107,Oo,"{'dami_ng_ulan_mm': 396, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 25, 'halumigmig': 79}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-11-15,Guimba,Manggang Marikit,1.84,NSIC Rc160,2022-08-14,Pamumulaklak,4.66,4.01,Wala,14,UPRIIS - Distrito 4,Banlik,159,Hindi,"{'dami_ng_ulan_mm': 105, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 25, 'halumigmig': 85}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-06-23,Peñaranda,Santo Tomas,1.62,NSIC Rc354,2021-02-27,Paghinog,4.5,0.0,Jolina,100,UPRIIS - Distrito 2,Mabuhanging Burak,175,Hindi,"{'dami_ng_ulan_mm': 170, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 23, 'halumigmig': 69}","{'pangalan': 'Jolina', 'lakas_ng_hangin': 100, 'ulan': 280, 'tagal': 69}"
2021-05-14,Zaragoza,Batitang,3.13,NSIC Rc438,2021-02-11,Paglaki,5.79,5.21,Wala,10,UPRIIS - Distrito 1,Burak,138,Oo,"{'dami_ng_ulan_mm': 117, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 26, 'halumigmig': 81}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-05-13,Santa Rosa,Tagpos,4.5,NSIC Rc402,2022-02-03,Paghinog,5.36,4.93,Wala,8,UPRIIS - Distrito 2,Banlik,131,Hindi,"{'dami_ng_ulan_mm': 117, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 25, 'halumigmig': 80}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-10-11,Gapan,Makabaclay,1.55,PSB Rc82,2022-07-04,Pamumulaklak,4.43,4.34,Wala,2,Tubig-ulan,Burak,154,Oo,"{'dami_ng_ulan_mm': 198, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 24, 'halumigmig': 84}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-09-07,Santa Rosa,Soledad,0.71,NSIC Rc438,2022-06-08,Paghinog,4.74,0.05,Inday,99,Maliit na Sistema ng Irigasyon,Mabuhanging Burak,139,Oo,"{'dami_ng_ulan_mm': 364, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 25, 'halumigmig': 78}","{'pangalan': 'Inday', 'lakas_ng_hangin': 130, 'ulan': 450, 'tagal': 69}"
2023-07-31,Science City of Muñoz,Centro,3.85,PSB Rc82,2023-04-27,Pamumulaklak,4.31,0.65,Falcon,85,UPRIIS - Distrito 3,Buhanging Lupa,175,Oo,"{'dami_ng_ulan_mm': 231, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 26, 'halumigmig': 82}","{'pangalan': 'Falcon', 'lakas_ng_hangin': 140, 'ulan': 400, 'tagal': 35}"
