ID_Magsasaka,Bayan,Uri_ng_Lupa,Panahon,Taon,Petsa_ng_Pagtatanim,Petsa_ng_Pag_aani,Uri_ng_Palay,Sukat_ng_Bukid_Ektarya,Inaasahang_Ani_Sako,Aktwal_na_Ani_Sako,Kilos_kada_Sako,Kabuuang_Kilos,Presyo_kada_Kilo,Kabuuang_Kita,Tagal_ng_Paglago_Araw,Kabuuang_Ulan_mm,Temperatura_Celsius,Antas_ng_Tagumpay,Mga_Hamon,Mga_Rekomendasyon,Total_Inaasahang_Kilo,Aktwal_Nabentang_Kilo,Total_Inaasahang_Kita,Aktwal_Nabentang_Kita,Planting_Month,Planting_Day,Reaping_Month,Reaping_Day,Planting_Typhoon_Risk,Reaping_Typhoon_Risk,Typhoon_Risk,Uri_ng_Palay_Freq,Bayan_Freq,Uri_ng_Lupa_Freq
San007,San Jose,Burak,Tag-ulan,2020,13/5/2020,8/9/2020,NSIC Rc222,1.67,140.28,70,60,4171,16.05,66944.54,118,259.19,28.2,8.9,Wala,Wala,8416.8,4200,2251.494,1123.5,5,13,9,8,0,1,1,952,794,1548
San008,San Jose,Burak,Tag-ulan,2020,8/6/2020,18/9/2020,NSIC Rc402,4.85,407.4,70,60,4208.67,16.05,67549.08,102,343.08,28.3,8.2,Wala,Wala,24444,4200,6538.77,1123.5,6,8,9,18,1,1,1,994,794,1548
San009,San Jose,Malagkit na Lupa,Tag-ulan,2020,17/6/2020,5/10/2020,PSB Rc82,4.47,375.48,59,60,3546.87,16.05,56927.34,110,221.15,26.4,9.2,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,22528.8,3540,6026.454,946.95,6,17,10,5,1,1,1,948,794,1511
San010,San Jose,Buhanging Lupa,Tag-ulan,2020,24/6/2020,18/10/2020,NSIC Rc222,2,168,73,60,4400.69,16.05,70631.14,116,296.3,27.8,8.9,Wala,Wala,10080,4380,2696.4,1171.65,6,24,10,18,1,1,1,952,794,1539
San011,San Jose,Malagkit na Lupa,Tag-ulan,2020,4/5/2020,19/8/2020,NSIC Rc216,1.14,95.76,90,60,5416.68,16.05,86937.74,107,398.63,25.2,8.4,Wala,Wala,5745.6,5400,1536.948,1444.5,5,4,8,19,0,1,1,957,794,1511
San012,San Jose,Burak,Tag-ulan,2020,4/5/2020,30/8/2020,NSIC Rc216,3.26,273.84,76,60,4535.33,16.05,72792.1,118,325.28,31,7.5,Wala,Wala,16430.4,4560,4395.132,1219.8,5,4,8,30,0,1,1,957,794,1548
San013,San Jose,Burak,Tag-ulan,2020,9/5/2020,20/8/2020,PSB Rc82,2.8,235.2,62,60,3744.69,16.05,60102.3,103,413.57,27.2,6.3,Matinding Ulan; Mababang Ani,Pagpapalakas ng drainage system; Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,14112,3720,3774.96,995.1,5,9,8,20,0,1,1,948,794,1548
San014,San Jose,Buhanging Lupa,Tag-ulan,2020,8/6/2020,26/9/2020,NSIC Rc402,1.54,129.36,76,60,4586.75,16.05,73617.35,110,324.57,29.1,8.7,Wala,Wala,7761.6,4560,2076.228,1219.8,6,8,9,26,1,1,1,994,794,1539
San015,San Jose,Buhanging Lupa,Tag-ulan,2020,5/6/2020,21/9/2020,NSIC Rc216,3.92,329.28,84,60,5025.14,16.05,80653.52,108,309.77,27.8,8.4,Wala,Wala,19756.8,5040,5284.944,1348.2,6,5,9,21,1,1,1,957,794,1539
San016,San Jose,Malagkit na Lupa,Tag-ulan,2020,18/6/2020,15/10/2020,NSIC Rc216,4.5,378,73,60,4409.68,16.05,70775.29,119,321.8,22.9,7.3,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,22680,4380,6066.9,1171.65,6,18,10,15,1,1,1,957,794,1511
San017,San Jose,Mabuhanging Burak,Tag-ulan,2020,12/5/2020,7/9/2020,PSB Rc82,2.16,181.44,67,60,3997.52,16.05,64160.12,118,334.1,28.3,7.9,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,10886.4,4020,2912.112,1075.35,5,12,9,7,0,1,1,948,794,1500
San018,San Jose,Malagkit na Lupa,Tag-ulan,2020,8/5/2020,27/8/2020,NSIC Rc402,0.88,73.92,77,60,4617.07,16.05,74104.05,111,288.88,32.1,8.5,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,4435.2,4620,1186.416,1235.85,5,8,8,27,0,1,1,994,794,1511
San019,San Jose,Buhanging Lupa,Tag-ulan,2020,2/5/2020,28/8/2020,NSIC Rc222,4.93,414.12,62,60,3706.66,16.05,59491.96,118,266.25,27.2,8.9,Wala,Wala,24847.2,3720,6646.626,995.1,5,2,8,28,0,1,1,952,794,1539
San020,San Jose,Burak,Tag-ulan,2020,24/5/2020,15/9/2020,NSIC Rc402,4.87,409.08,66,60,3934.15,16.05,63143.09,114,399.58,26.3,8.9,Wala,Wala,24544.8,3960,6565.734,1059.3,5,24,9,15,0,1,1,994,794,1548
San021,San Jose,Malagkit na Lupa,Tag-ulan,2020,8/6/2020,18/9/2020,NSIC Rc222,1.33,111.72,55,60,3300.98,16.05,52980.68,102,272.49,27.7,7.9,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,6703.2,3300,1793.106,882.75,6,8,9,18,1,1,1,952,794,1511
San022,San Jose,Mabuhanging Burak,Tag-ulan,2020,14/6/2020,27/9/2020,NSIC Rc402,1.58,132.72,63,60,3764.64,16.05,60422.44,105,342.04,28.4,8.1,Wala,Wala,7963.2,3780,2130.156,1011.15,6,14,9,27,1,1,1,994,794,1500
San023,San Jose,Banlik,Tag-ulan,2020,19/5/2020,16/9/2020,NSIC Rc402,3.98,334.32,65,60,3872.42,16.05,62152.37,120,235.37,26.9,8.4,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,20059.2,3900,5365.836,1043.25,5,19,9,16,0,1,1,994,794,1501
San024,San Jose,Burak,Tag-ulan,2020,26/6/2020,20/10/2020,NSIC Rc216,3.95,331.8,84,60,5015.59,16.05,80500.25,116,269.63,27.8,8.9,Wala,Wala,19908,5040,5325.39,1348.2,6,26,10,20,1,1,1,957,794,1548
San025,San Jose,Mabuhanging Burak,Tag-ulan,2020,23/6/2020,2/10/2020,NSIC Rc402,1.02,85.68,59,60,3528.45,16.05,56631.58,101,321.29,28.8,7.5,Wala,Wala,5140.8,3540,1375.164,946.95,6,23,10,2,1,1,1,994,794,1500
San026,San Jose,Mabuhanging Burak,Tag-ulan,2020,12/5/2020,27/8/2020,NSIC Rc402,2.34,196.56,69,60,4118.23,16.05,66097.61,107,211.2,30.1,7.9,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,11793.6,4140,3154.788,1107.45,5,12,8,27,0,1,1,994,794,1500
San027,San Jose,Buhanging Lupa,Tag-ulan,2020,2/5/2020,16/8/2020,PSB Rc82,3.43,288.12,72,60,4335.53,16.05,69585.22,106,312.63,30.8,7.7,Wala,Wala,17287.2,4320,4624.326,1155.6,5,2,8,16,0,1,1,948,794,1539
San028,San Jose,Malagkit na Lupa,Tag-ulan,2020,23/6/2020,19/10/2020,PSB Rc82,3.18,267.12,65,60,3908.73,16.05,62735.07,118,322.21,30.2,7.6,Wala,Wala,16027.2,3900,4287.276,1043.25,6,23,10,19,1,1,1,948,794,1511
San029,San Jose,Burak,Tag-ulan,2020,23/6/2020,7/10/2020,PSB Rc82,4.71,395.64,78,60,4692.58,16.05,75315.92,106,323.33,30.7,8,Wala,Wala,23738.4,4680,6350.022,1251.9,6,23,10,7,1,1,1,948,794,1548
San030,San Jose,Malagkit na Lupa,Tag-ulan,2020,4/6/2020,24/9/2020,NSIC Rc402,2.9,243.6,66,60,3938.26,16.05,63209.01,112,326.11,27.8,8.7,Wala,Wala,14616,3960,3909.78,1059.3,6,4,9,24,1,1,1,994,794,1511
San031,San Jose,Banlik,Tag-ulan,2020,9/5/2020,27/8/2020,PSB Rc82,4.69,393.96,49,60,2919.24,16.05,46853.78,110,413.62,29.8,7.5,Matinding Ulan; Mababang Ani,Pagpapalakas ng drainage system; Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,23637.6,2940,6323.058,786.45,5,9,8,27,0,1,1,948,794,1501
San032,San Jose,Buhanging Lupa,Tag-ulan,2020,23/5/2020,10/9/2020,NSIC Rc216,3.76,315.84,78,60,4693.02,16.05,75323.01,110,328.69,25.4,8.7,Wala,Wala,18950.4,4680,5069.232,1251.9,5,23,9,10,0,1,1,957,794,1539
San033,San Jose,Buhanging Lupa,Tag-ulan,2020,18/5/2020,13/9/2020,NSIC Rc216,2.14,179.76,62,60,3705.88,16.05,59479.42,118,235.58,28.6,8.9,Wala,Wala,10785.6,3720,2885.148,995.1,5,18,9,13,0,1,1,957,794,1539
San034,San Jose,Malagkit na Lupa,Tag-ulan,2020,24/6/2020,20/10/2020,NSIC Rc402,1.73,145.32,76,60,4541.91,16.05,72897.73,118,307.28,26.8,7.9,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,8719.2,4560,2332.386,1219.8,6,24,10,20,1,1,1,994,794,1511
San035,San Jose,Banlik,Tag-ulan,2020,6/5/2020,14/8/2020,NSIC Rc222,2.09,175.56,83,60,4957.43,16.05,79566.76,100,307.05,31.2,7.2,Wala,Wala,10533.6,4980,2817.738,1332.15,5,6,8,14,0,1,1,952,794,1501
San036,San Jose,Banlik,Tag-ulan,2020,20/6/2020,4/10/2020,NSIC Rc402,4.31,362.04,66,60,3987.15,16.05,63993.74,106,334.77,25.7,7.8,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,21722.4,3960,5810.742,1059.3,6,20,10,4,1,1,1,994,794,1501
San037,San Jose,Burak,Tag-ulan,2020,15/5/2020,5/9/2020,NSIC Rc402,2.32,194.88,82,60,4912.78,16.05,78850.16,113,294.42,26.4,9.8,Wala,Wala,11692.8,4920,3127.824,1316.1,5,15,9,5,0,1,1,994,794,1548
San038,San Jose,Burak,Tag-ulan,2020,27/6/2020,11/10/2020,PSB Rc82,2.04,171.36,56,60,3352.37,16.05,53805.49,106,280.62,27.2,8.6,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,10281.6,3360,2750.328,898.8,6,27,10,11,1,1,1,948,794,1548
San039,San Jose,Burak,Tag-ulan,2020,23/5/2020,2/9/2020,PSB Rc82,1.76,147.84,61,60,3656.68,16.05,58689.72,102,276.12,25.5,8.1,Wala,Wala,8870.4,3660,2372.832,979.05,5,23,9,2,0,1,1,948,794,1548
San040,San Jose,Burak,Tag-ulan,2020,24/5/2020,11/9/2020,NSIC Rc216,1.08,90.72,80,60,4770.68,16.05,76569.48,110,293.62,26.9,9.4,Wala,Wala,5443.2,4800,1456.056,1284,5,24,9,11,0,1,1,957,794,1548
San041,San Jose,Banlik,Tag-ulan,2020,26/5/2020,6/9/2020,PSB Rc82,2.43,204.12,82,60,4928.61,16.05,79104.2,103,153.53,32.1,7.2,Wala,Wala,12247.2,4920,3276.126,1316.1,5,26,9,6,0,1,1,948,794,1501
San042,San Jose,Buhanging Lupa,Tag-ulan,2020,17/5/2020,13/9/2020,NSIC Rc402,3.26,273.84,62,60,3702.08,16.05,59418.41,119,354.44,27.2,8,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,16430.4,3720,4395.132,995.1,5,17,9,13,0,1,1,994,794,1539
San043,San Jose,Malagkit na Lupa,Tag-ulan,2020,10/6/2020,20/9/2020,NSIC Rc216,3.75,315,62,60,3692.85,16.05,59270.29,102,300.94,25.7,7.6,Wala,Wala,18900,3720,5055.75,995.1,6,10,9,20,1,1,1,957,794,1511
San044,San Jose,Malagkit na Lupa,Tag-ulan,2020,5/6/2020,2/10/2020,NSIC Rc216,1.58,132.72,77,60,4610.24,16.05,73994.42,119,384.79,31.8,7.6,Wala,Wala,7963.2,4620,2130.156,1235.85,6,5,10,2,1,1,1,957,794,1511
San045,San Jose,Malagkit na Lupa,Tag-ulan,2020,1/6/2020,27/9/2020,PSB Rc82,4.79,402.36,84,60,5055.18,16.05,81135.63,118,307.83,30,7.6,Wala,Wala,24141.6,5040,6457.878,1348.2,6,1,9,27,1,1,1,948,794,1511
San046,San Jose,Mabuhanging Burak,Tag-ulan,2020,7/5/2020,17/8/2020,NSIC Rc222,0.79,66.36,80,60,4797.25,16.05,76995.78,102,308.76,25.3,7.5,Wala,Wala,3981.6,4800,1065.078,1284,5,7,8,17,0,1,1,952,794,1500
San047,San Jose,Malagkit na Lupa,Tag-ulan,2020,19/5/2020,16/9/2020,NSIC Rc216,2.88,241.92,82,60,4917.69,16.05,78928.94,120,279.41,28.3,9.4,Wala,Wala,14515.2,4920,3882.816,1316.1,5,19,9,16,0,1,1,957,794,1511
San048,San Jose,Buhanging Lupa,Tag-ulan,2020,4/5/2020,22/8/2020,NSIC Rc222,3.55,298.2,89,60,5363.97,16.05,86091.66,110,277.27,27.6,9.8,Wala,Wala,17892,5340,4786.11,1428.45,5,4,8,22,0,1,1,952,794,1539
San049,San Jose,Burak,Tag-ulan,2020,23/6/2020,6/10/2020,NSIC Rc216,3.96,332.64,79,60,4747.61,16.05,76199.11,105,295.43,27.8,8.7,Wala,Wala,19958.4,4740,5338.872,1267.95,6,23,10,6,1,1,1,957,794,1548
San050,San Jose,Burak,Tag-ulan,2020,18/6/2020,5/10/2020,NSIC Rc216,2.7,226.8,61,60,3686.86,16.05,59174.07,109,302.61,25.9,8.2,Wala,Wala,13608,3660,3640.14,979.05,6,18,10,5,1,1,1,957,794,1548
San051,San Jose,Burak,Tag-ulan,2020,17/6/2020,10/10/2020,PSB Rc82,3.5,294,76,60,4570.28,16.05,73353.06,115,264.15,25.4,9.2,Wala,Wala,17640,4560,4718.7,1219.8,6,17,10,10,1,1,1,948,794,1548
San052,San Jose,Banlik,Tag-ulan,2020,28/5/2020,10/9/2020,NSIC Rc402,1.54,129.36,81,60,4853.16,16.05,77893.16,105,348.89,23.8,7.5,Wala,Wala,7761.6,4860,2076.228,1300.05,5,28,9,10,0,1,1,994,794,1501
San053,San Jose,Mabuhanging Burak,Tag-ulan,2020,28/6/2020,16/10/2020,NSIC Rc222,0.92,77.28,73,60,4386.49,16.05,70403.16,110,357.68,30.8,8.3,Wala,Wala,4636.8,4380,1240.344,1171.65,6,28,10,16,1,1,1,952,794,1500
San054,San Jose,Burak,Tag-ulan,2020,19/5/2020,11/9/2020,NSIC Rc402,4.84,406.56,84,60,5022.55,16.05,80611.91,115,284.89,22.8,9,Wala,Wala,24393.6,5040,6525.288,1348.2,5,19,9,11,0,1,1,994,794,1548
San055,San Jose,Mabuhanging Burak,Tag-ulan,2020,23/6/2020,11/10/2020,NSIC Rc222,2.91,244.44,58,60,3493.81,16.05,56075.7,110,281.93,27.9,9.5,Wala,Wala,14666.4,3480,3923.262,930.9,6,23,10,11,1,1,1,952,794,1500
San056,San Jose,Banlik,Tag-ulan,2020,5/6/2020,25/9/2020,NSIC Rc216,3.6,302.4,69,60,4146.35,16.05,66548.98,112,249.47,27,9,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,18144,4140,4853.52,1107.45,6,5,9,25,1,1,1,957,794,1501
San057,San Jose,Malagkit na Lupa,Tag-ulan,2020,4/6/2020,18/9/2020,PSB Rc82,1.07,89.88,80,60,4811.29,16.05,77221.21,106,376.51,29.3,8.3,Wala,Wala,5392.8,4800,1442.574,1284,6,4,9,18,1,1,1,948,794,1511
San058,San Jose,Mabuhanging Burak,Tag-ulan,2020,19/5/2020,2/9/2020,NSIC Rc402,3.89,326.76,63,60,3799.68,16.05,60984.93,106,253.77,24.8,8,Wala,Wala,19605.6,3780,5244.498,1011.15,5,19,9,2,0,1,1,994,794,1500
San059,San Jose,Banlik,Tag-ulan,2020,14/5/2020,25/8/2020,NSIC Rc216,3.31,278.04,72,60,4309.59,16.05,69168.98,103,283.65,27.6,7.8,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,16682.4,4320,4462.542,1155.6,5,14,8,25,0,1,1,957,794,1501
San060,San Jose,Buhanging Lupa,Tag-ulan,2020,9/6/2020,27/9/2020,PSB Rc82,3.63,304.92,79,60,4751.08,16.05,76254.83,110,324.81,26.9,8.6,Wala,Wala,18295.2,4740,4893.966,1267.95,6,9,9,27,1,1,1,948,794,1539
San061,San Jose,Banlik,Tag-ulan,2020,24/6/2020,20/10/2020,NSIC Rc222,0.86,72.24,49,60,2933.24,16.05,47078.45,118,325.57,31.9,7,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,4334.4,2940,1159.452,786.45,6,24,10,20,1,1,1,952,794,1501
San062,San Jose,Mabuhanging Burak,Tag-ulan,2020,15/5/2020,29/8/2020,NSIC Rc222,3.57,299.88,54,60,3259.66,16.05,52317.48,106,340.78,27.9,8,Wala,Wala,17992.8,3240,4813.074,866.7,5,15,8,29,0,1,1,952,794,1500
San063,San Jose,Mabuhanging Burak,Tag-ulan,2020,17/5/2020,29/8/2020,NSIC Rc222,2.67,224.28,66,60,3962.09,16.05,63591.55,104,290.84,27.3,7.9,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,13456.8,3960,3599.694,1059.3,5,17,8,29,0,1,1,952,794,1500
San064,San Jose,Buhanging Lupa,Tag-ulan,2020,7/5/2020,31/8/2020,NSIC Rc222,2.81,236.04,61,60,3665.02,16.05,58823.53,116,359.03,26.7,8.2,Wala,Wala,14162.4,3660,3788.442,979.05,5,7,8,31,0,1,1,952,794,1539
San065,San Jose,Mabuhanging Burak,Tag-ulan,2020,8/6/2020,17/9/2020,NSIC Rc216,4.2,352.8,72,60,4321,16.05,69352.01,101,302.26,28.1,7.3,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,21168,4320,5662.44,1155.6,6,8,9,17,1,1,1,957,794,1500
San066,San Jose,Malagkit na Lupa,Tag-ulan,2020,15/6/2020,26/9/2020,NSIC Rc222,2.25,189,64,60,3864.79,16.05,62029.8,103,274.91,25.3,8.3,Wala,Wala,11340,3840,3033.45,1027.2,6,15,9,26,1,1,1,952,794,1511
San067,San Jose,Burak,Tag-ulan,2020,28/6/2020,9/10/2020,PSB Rc82,3.81,320.04,75,60,4487.4,16.05,72022.75,103,316.15,27.9,8.1,Wala,Wala,19202.4,4500,5136.642,1203.75,6,28,10,9,1,1,1,948,794,1548
San068,San Jose,Malagkit na Lupa,Tag-ulan,2020,3/5/2020,28/8/2020,PSB Rc82,2.21,185.64,83,60,4965.92,16.05,79703.03,117,325.01,26.9,8.2,Wala,Wala,11138.4,4980,2979.522,1332.15,5,3,8,28,0,1,1,948,794,1511
San069,San Jose,Buhanging Lupa,Tag-ulan,2020,3/6/2020,26/9/2020,NSIC Rc402,3.46,290.64,51,60,3066.61,16.05,49219.06,115,361.04,26.2,8.2,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,17438.4,3060,4664.772,818.55,6,3,9,26,1,1,1,994,794,1539
San070,San Jose,Banlik,Tag-ulan,2020,2/6/2020,23/9/2020,NSIC Rc402,4.64,389.76,70,60,4176.68,16.05,67035.72,113,385.6,24.5,8.1,Wala,Wala,23385.6,4200,6255.648,1123.5,6,2,9,23,1,1,1,994,794,1501
San071,San Jose,Mabuhanging Burak,Tag-ulan,2020,20/5/2020,15/9/2020,PSB Rc82,2.38,199.92,85,60,5070.76,16.05,81385.64,118,321.74,29,8.5,Wala,Wala,11995.2,5100,3208.716,1364.25,5,20,9,15,0,1,1,948,794,1500
San072,San Jose,Mabuhanging Burak,Tag-ulan,2020,27/5/2020,15/9/2020,PSB Rc82,2.51,210.84,69,60,4134.7,16.05,66362,111,260.22,28.8,9.2,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,12650.4,4140,3383.982,1107.45,5,27,9,15,0,1,1,948,794,1500
San073,San Jose,Malagkit na Lupa,Tag-ulan,2020,18/5/2020,27/8/2020,NSIC Rc216,4.37,367.08,59,60,3536.99,16.05,56768.76,101,363.98,23.6,6.5,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,22024.8,3540,5891.634,946.95,5,18,8,27,0,1,1,957,794,1511
San074,San Jose,Buhanging Lupa,Tag-ulan,2020,2/6/2020,28/9/2020,NSIC Rc216,0.75,63,84,60,5049.6,16.05,81046.15,118,325.14,23,7.9,Wala,Wala,3780,5040,1011.15,1348.2,6,2,9,28,1,1,1,957,794,1539
San075,San Jose,Mabuhanging Burak,Tag-ulan,2020,8/5/2020,3/9/2020,NSIC Rc222,3.9,327.6,85,60,5095.76,16.05,81786.88,118,251.72,31.3,8.2,Wala,Wala,19656,5100,5257.98,1364.25,5,8,9,3,0,1,1,952,794,1500
San076,San Jose,Burak,Tag-ulan,2020,24/5/2020,14/9/2020,PSB Rc82,2.05,172.2,62,60,3733.51,16.05,59922.78,113,270.91,25.7,8.8,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,10332,3720,2763.81,995.1,5,24,9,14,0,1,1,948,794,1548
San077,San Jose,Malagkit na Lupa,Tag-ulan,2020,22/6/2020,1/10/2020,PSB Rc82,0.87,73.08,65,60,3907.73,16.05,62719.02,101,290.1,32.1,7.9,Wala,Wala,4384.8,3900,1172.934,1043.25,6,22,10,1,1,1,1,948,794,1511
San078,San Jose,Banlik,Tag-ulan,2020,5/6/2020,21/9/2020,NSIC Rc216,3.53,296.52,83,60,4958.18,16.05,79578.84,108,208.42,25.9,9,Wala,Wala,17791.2,4980,4759.146,1332.15,6,5,9,21,1,1,1,957,794,1501
San079,San Jose,Malagkit na Lupa,Tag-ulan,2020,3/5/2020,12/8/2020,NSIC Rc222,1.03,86.52,62,60,3690.68,16.05,59235.42,101,374.87,31.7,7,Wala,Wala,5191.2,3720,1388.646,995.1,5,3,8,12,0,1,1,952,794,1511
San080,San Jose,Banlik,Tag-ulan,2020,25/5/2020,20/9/2020,PSB Rc82,4.68,393.12,74,60,4456.49,16.05,71526.71,118,294.83,25.5,8.9,Wala,Wala,23587.2,4440,6309.576,1187.7,5,25,9,20,0,1,1,948,794,1501
San081,San Jose,Burak,Tag-ulan,2020,12/6/2020,24/9/2020,NSIC Rc216,3.35,281.4,59,60,3569.84,16.05,57295.89,104,404.79,31.2,5.6,Matinding Ulan; Mababang Ani,Pagpapalakas ng drainage system; Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,16884,3540,4516.47,946.95,6,12,9,24,1,1,1,957,794,1548
San082,San Jose,Malagkit na Lupa,Tag-ulan,2020,11/5/2020,5/9/2020,PSB Rc82,2.39,200.76,54,60,3236.62,16.05,51947.71,117,333.95,26.4,7.7,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,12045.6,3240,3222.198,866.7,5,11,9,5,0,1,1,948,794,1511
San083,San Jose,Burak,Tag-ulan,2020,24/6/2020,15/10/2020,NSIC Rc402,3.29,276.36,69,60,4156.86,16.05,66717.63,113,297.55,27.7,9.2,Wala,Wala,16581.6,4140,4435.578,1107.45,6,24,10,15,1,1,1,994,794,1548
San084,San Jose,Mabuhanging Burak,Tag-ulan,2020,27/5/2020,12/9/2020,PSB Rc82,4.12,346.08,79,60,4735.36,16.05,76002.46,108,316.54,30.9,7.5,Wala,Wala,20764.8,4740,5554.584,1267.95,5,27,9,12,0,1,1,948,794,1500
San085,San Jose,Burak,Tag-ulan,2020,9/5/2020,31/8/2020,NSIC Rc216,3.03,254.52,53,60,3171.72,16.05,50906.04,114,343.97,25.8,8.5,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,15271.2,3180,4085.046,850.65,5,9,8,31,0,1,1,957,794,1548
San086,San Jose,Mabuhanging Burak,Tag-ulan,2020,6/5/2020,20/8/2020,NSIC Rc216,3.47,291.48,64,60,3823.94,16.05,61374.24,106,368.82,28.6,7.7,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,17488.8,3840,4678.254,1027.2,5,6,8,20,0,1,1,957,794,1500
San087,San Jose,Burak,Tag-ulan,2020,22/5/2020,7/9/2020,NSIC Rc222,2.72,228.48,77,60,4620.96,16.05,74166.36,108,334.35,30.9,7.7,Wala,Wala,13708.8,4620,3667.104,1235.85,5,22,9,7,0,1,1,952,794,1548
San088,San Jose,Mabuhanging Burak,Tag-ulan,2020,21/6/2020,7/10/2020,NSIC Rc402,4.03,338.52,66,60,3981.83,16.05,63908.42,108,244.42,27.9,9,Wala,Wala,20311.2,3960,5433.246,1059.3,6,21,10,7,1,1,1,994,794,1500
San089,San Jose,Burak,Tag-ulan,2020,15/6/2020,10/10/2020,NSIC Rc222,2,168,76,60,4538.96,16.05,72850.31,117,273.43,24.9,8.3,Wala,Wala,10080,4560,2696.4,1219.8,6,15,10,10,1,1,1,952,794,1548
San090,San Jose,Malagkit na Lupa,Tag-ulan,2020,13/5/2020,28/8/2020,NSIC Rc222,0.98,82.32,82,60,4916.34,16.05,78907.33,107,317.34,33,7.6,Wala,Wala,4939.2,4920,1321.236,1316.1,5,13,8,28,0,1,1,952,794,1511
San091,San Jose,Banlik,Tag-ulan,2020,10/6/2020,26/9/2020,NSIC Rc402,3.89,326.76,78,60,4693.24,16.05,75326.45,108,208,27.9,8.9,Wala,Wala,19605.6,4680,5244.498,1251.9,6,10,9,26,1,1,1,994,794,1501
San092,San Jose,Burak,Tag-ulan,2020,9/6/2020,1/10/2020,PSB Rc82,3.73,313.32,56,60,3376.37,16.05,54190.67,114,332.03,28.2,8.5,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,18799.2,3360,5028.786,898.8,6,9,10,1,1,1,1,948,794,1548
San093,San Jose,Burak,Tag-ulan,2020,17/5/2020,27/8/2020,NSIC Rc402,3.32,278.88,61,60,3653.99,16.05,58646.51,102,294.34,25.4,8,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,16732.8,3660,4476.024,979.05,5,17,8,27,0,1,1,994,794,1548
San094,San Jose,Mabuhanging Burak,Tag-ulan,2020,13/5/2020,31/8/2020,PSB Rc82,2.43,204.12,65,60,3882.14,16.05,62308.29,110,311.64,26.5,8.9,Wala,Wala,12247.2,3900,3276.126,1043.25,5,13,8,31,0,1,1,948,794,1500
San095,San Jose,Burak,Tag-ulan,2020,9/6/2020,28/9/2020,NSIC Rc216,4.17,350.28,66,60,3956.83,16.05,63507.17,111,190.5,30.4,8.4,Wala,Wala,21016.8,3960,5621.994,1059.3,6,9,9,28,1,1,1,957,794,1548
San096,San Jose,Banlik,Tag-ulan,2020,4/6/2020,20/9/2020,PSB Rc82,4.06,341.04,70,60,4171.51,16.05,66952.77,108,347.92,28.1,8.5,Wala,Wala,20462.4,4200,5473.692,1123.5,6,4,9,20,1,1,1,948,794,1501
San097,San Jose,Buhanging Lupa,Tag-ulan,2020,8/5/2020,28/8/2020,NSIC Rc222,1.07,89.88,61,60,3673.23,16.05,58955.32,112,311.45,30.1,8,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,5392.8,3660,1442.574,979.05,5,8,8,28,0,1,1,952,794,1539
San098,San Jose,Malagkit na Lupa,Tag-ulan,2020,24/6/2020,15/10/2020,NSIC Rc402,1.36,114.24,58,60,3492.24,16.05,56050.52,113,311.22,29.8,8.7,Wala,Wala,6854.4,3480,1833.552,930.9,6,24,10,15,1,1,1,994,794,1511
San099,San Jose,Burak,Tag-ulan,2020,28/5/2020,17/9/2020,NSIC Rc402,3.8,319.2,67,60,4003.09,16.05,64249.54,112,285.13,30.6,8.9,Wala,Wala,19152,4020,5123.16,1075.35,5,28,9,17,0,1,1,994,794,1548
